,location,truth_date,year_week,value,data_source
4211,HU,2018/10/7,2018-W40,36.6,ERVISS
4210,HU,2018/10/14,2018-W41,35.4,ERVISS
4209,HU,2018/10/21,2018-W42,43.6,ERVISS
4208,HU,2018/10/28,2018-W43,28.1,ERVISS
4207,HU,2018/11/4,2018-W44,25.8,ERVISS
4206,HU,2018/11/11,2018-W45,46.3,ERVISS
4205,HU,2018/11/18,2018-W46,49.2,ERVISS
4204,HU,2018/11/25,2018-W47,61.8,ERVISS
4203,HU,2018/12/2,2018-W48,72.1,ERVISS
4202,HU,2018/12/9,2018-W49,81.7,ERVISS
4201,HU,2018/12/16,2018-W50,101.5,ERVISS
4200,HU,2018/12/23,2018-W51,112.8,ERVISS
4199,HU,2019/1/6,2019-W01,112.0,ERVISS
4198,HU,2019/1/13,2019-W02,197.1,ERVISS
4197,HU,2019/1/20,2019-W03,390.2,ERVISS
4196,HU,2019/1/27,2019-W04,663.8,ERVISS
4195,HU,2019/2/3,2019-W05,794.1,ERVISS
4194,HU,2019/2/10,2019-W06,696.0,ERVISS
4193,HU,2019/2/17,2019-W07,536.4,ERVISS
4192,HU,2019/2/24,2019-W08,346.9,ERVISS
4191,HU,2019/3/3,2019-W09,218.0,ERVISS
4190,HU,2019/3/10,2019-W10,141.3,ERVISS
4189,HU,2019/3/17,2019-W11,73.7,ERVISS
4188,HU,2019/3/24,2019-W12,58.1,ERVISS
4187,HU,2019/3/31,2019-W13,39.7,ERVISS
4053,HU,2023/10/8,2023-W40,120.7,ERVISS
4052,HU,2023/10/15,2023-W41,139.8,ERVISS
4051,HU,2023/10/22,2023-W42,153.0,ERVISS
4050,HU,2023/10/29,2023-W43,140.2,ERVISS
4049,HU,2023/11/5,2023-W44,110.8,ERVISS
4048,HU,2023/11/12,2023-W45,160.2,ERVISS
4047,HU,2023/11/19,2023-W46,195.3,ERVISS
4046,HU,2023/11/26,2023-W47,237.7,ERVISS
4045,HU,2023/12/3,2023-W48,298.6,ERVISS
4044,HU,2023/12/10,2023-W49,320.9,ERVISS
4043,HU,2023/12/17,2023-W50,414.6,ERVISS
4042,HU,2023/12/24,2023-W51,347.7,ERVISS
4041,HU,2024/1/7,2024-W01,221.7,ERVISS
4040,HU,2024/1/14,2024-W02,256.4,ERVISS
4039,HU,2024/1/21,2024-W03,296.0,ERVISS
4038,HU,2024/1/28,2024-W04,381.0,ERVISS
4037,HU,2024/2/4,2024-W05,488.8,ERVISS
4036,HU,2024/2/11,2024-W06,610.6,ERVISS
4035,HU,2024/2/18,2024-W07,620.2,ERVISS
4034,HU,2024/2/25,2024-W08,579.6,ERVISS
4033,HU,2024/3/3,2024-W09,459.8,ERVISS
4032,HU,2024/3/10,2024-W10,385.5,ERVISS
4031,HU,2024/3/17,2024-W11,272.2,ERVISS
4030,HU,2024/3/24,2024-W12,240.9,ERVISS
4029,HU,2024/3/31,2024-W13,167.3,ERVISS
4028,HU,2024/4/7,2024-W14,111.9,ERVISS
5020,IE,2017/10/8,2017-W40,5.4,ERVISS
5019,IE,2017/10/15,2017-W41,4.6,ERVISS
5018,IE,2017/10/22,2017-W42,7.1,ERVISS
5017,IE,2017/10/29,2017-W43,5.2,ERVISS
5016,IE,2017/11/5,2017-W44,3.4,ERVISS
5015,IE,2017/11/12,2017-W45,7.5,ERVISS
5014,IE,2017/11/19,2017-W46,7.8,ERVISS
5013,IE,2017/11/26,2017-W47,5.1,ERVISS
5012,IE,2017/12/3,2017-W48,7.5,ERVISS
5011,IE,2017/12/10,2017-W49,7.1,ERVISS
5010,IE,2017/12/17,2017-W50,18.9,ERVISS
5009,IE,2017/12/24,2017-W51,25.9,ERVISS
5008,IE,2017/12/31,2017-W52,29.3,ERVISS
5007,IE,2018/1/7,2018-W01,94.8,ERVISS
5006,IE,2018/1/14,2018-W02,97.1,ERVISS
5005,IE,2018/1/21,2018-W03,100.8,ERVISS
5004,IE,2018/1/28,2018-W04,89.0,ERVISS
5003,IE,2018/2/4,2018-W05,72.9,ERVISS
5002,IE,2018/2/11,2018-W06,63.9,ERVISS
5001,IE,2018/2/18,2018-W07,63.6,ERVISS
5000,IE,2018/2/25,2018-W08,41.2,ERVISS
4999,IE,2018/3/4,2018-W09,29.0,ERVISS
4998,IE,2018/3/11,2018-W10,31.7,ERVISS
4997,IE,2018/3/18,2018-W11,16.8,ERVISS
4996,IE,2018/3/25,2018-W12,13.8,ERVISS
4995,IE,2018/4/1,2018-W13,12.9,ERVISS
4994,IE,2018/4/8,2018-W14,4.1,ERVISS
4968,IE,2018/10/7,2018-W40,3.1,ERVISS
4967,IE,2018/10/14,2018-W41,4.7,ERVISS
4966,IE,2018/10/21,2018-W42,3.2,ERVISS
4965,IE,2018/10/28,2018-W43,4.4,ERVISS
4964,IE,2018/11/4,2018-W44,5.9,ERVISS
4963,IE,2018/11/11,2018-W45,4.0,ERVISS
4962,IE,2018/11/18,2018-W46,4.8,ERVISS
4961,IE,2018/11/25,2018-W47,3.6,ERVISS
4960,IE,2018/12/2,2018-W48,5.0,ERVISS
4959,IE,2018/12/9,2018-W49,8.6,ERVISS
4958,IE,2018/12/16,2018-W50,9.1,ERVISS
4957,IE,2018/12/23,2018-W51,11.7,ERVISS
4956,IE,2018/12/30,2018-W52,10.6,ERVISS
4955,IE,2019/1/6,2019-W01,32.8,ERVISS
4954,IE,2019/1/13,2019-W02,52.1,ERVISS
4953,IE,2019/1/20,2019-W03,43.1,ERVISS
4952,IE,2019/1/27,2019-W04,41.4,ERVISS
4951,IE,2019/2/3,2019-W05,53.2,ERVISS
4950,IE,2019/2/10,2019-W06,51.9,ERVISS
4949,IE,2019/2/17,2019-W07,43.4,ERVISS
4948,IE,2019/2/24,2019-W08,26.9,ERVISS
4947,IE,2019/3/3,2019-W09,14.5,ERVISS
4946,IE,2019/3/10,2019-W10,14.3,ERVISS
4945,IE,2019/3/17,2019-W11,14.5,ERVISS
4944,IE,2019/3/24,2019-W12,10.7,ERVISS
4943,IE,2019/3/31,2019-W13,4.3,ERVISS
4942,IE,2019/4/7,2019-W14,10.4,ERVISS
4708,IE,2023/10/8,2023-W40,8.6,ERVISS
4707,IE,2023/10/15,2023-W41,8.6,ERVISS
4706,IE,2023/10/22,2023-W42,6.2,ERVISS
4705,IE,2023/10/29,2023-W43,7.3,ERVISS
4704,IE,2023/11/5,2023-W44,8.2,ERVISS
4703,IE,2023/11/12,2023-W45,9.2,ERVISS
4702,IE,2023/11/19,2023-W46,10.8,ERVISS
4701,IE,2023/11/26,2023-W47,8.7,ERVISS
4700,IE,2023/12/3,2023-W48,7.5,ERVISS
4699,IE,2023/12/10,2023-W49,15.9,ERVISS
4698,IE,2023/12/17,2023-W50,15.0,ERVISS
4697,IE,2023/12/24,2023-W51,22.5,ERVISS
4696,IE,2023/12/31,2023-W52,14.9,ERVISS
4695,IE,2024/1/7,2024-W01,28.0,ERVISS
4694,IE,2024/1/14,2024-W02,31.7,ERVISS
4693,IE,2024/1/21,2024-W03,28.8,ERVISS
4692,IE,2024/1/28,2024-W04,29.4,ERVISS
4691,IE,2024/2/4,2024-W05,23.1,ERVISS
4690,IE,2024/2/11,2024-W06,17.1,ERVISS
4689,IE,2024/2/18,2024-W07,13.1,ERVISS
4688,IE,2024/2/25,2024-W08,14.6,ERVISS
4687,IE,2024/3/3,2024-W09,10.1,ERVISS
4686,IE,2024/3/10,2024-W10,12.3,ERVISS
4685,IE,2024/3/17,2024-W11,8.4,ERVISS
4684,IE,2024/3/24,2024-W12,5.9,ERVISS
4683,IE,2024/3/31,2024-W13,6.0,ERVISS
4682,IE,2024/4/7,2024-W14,6.0,ERVISS
4558,IS,2017/10/8,2017-W40,3.0,ERVISS
4557,IS,2017/10/15,2017-W41,1.2,ERVISS
4556,IS,2017/10/22,2017-W42,3.3,ERVISS
4555,IS,2017/10/29,2017-W43,0.9,ERVISS
4554,IS,2017/11/5,2017-W44,1.8,ERVISS
4553,IS,2017/11/12,2017-W45,2.1,ERVISS
4552,IS,2017/11/19,2017-W46,2.4,ERVISS
4551,IS,2017/11/26,2017-W47,3.3,ERVISS
4550,IS,2017/12/3,2017-W48,4.4,ERVISS
4549,IS,2017/12/10,2017-W49,5.9,ERVISS
4548,IS,2017/12/17,2017-W50,8.0,ERVISS
4547,IS,2017/12/24,2017-W51,10.6,ERVISS
4546,IS,2017/12/31,2017-W52,18.3,ERVISS
4545,IS,2018/1/7,2018-W01,38.4,ERVISS
4544,IS,2018/1/14,2018-W02,51.1,ERVISS
4543,IS,2018/1/21,2018-W03,55.6,ERVISS
4542,IS,2018/1/28,2018-W04,23.3,ERVISS
4541,IS,2018/2/4,2018-W05,97.2,ERVISS
4540,IS,2018/2/11,2018-W06,107.3,ERVISS
4539,IS,2018/2/18,2018-W07,85.1,ERVISS
4538,IS,2018/2/25,2018-W08,83.6,ERVISS
4537,IS,2018/3/4,2018-W09,68.3,ERVISS
4536,IS,2018/3/11,2018-W10,49.9,ERVISS
4535,IS,2018/3/18,2018-W11,55.0,ERVISS
4534,IS,2018/3/25,2018-W12,36.1,ERVISS
4533,IS,2018/4/1,2018-W13,19.5,ERVISS
4532,IS,2018/4/8,2018-W14,16.3,ERVISS
4526,IS,2018/10/7,2018-W40,1.7,ERVISS
4525,IS,2018/10/14,2018-W41,1.4,ERVISS
4524,IS,2018/10/21,2018-W42,0.9,ERVISS
4523,IS,2018/10/28,2018-W43,2.6,ERVISS
4522,IS,2018/11/4,2018-W44,2.0,ERVISS
4521,IS,2018/11/11,2018-W45,7.5,ERVISS
4520,IS,2018/11/18,2018-W46,3.2,ERVISS
4519,IS,2018/11/25,2018-W47,2.3,ERVISS
4518,IS,2018/12/2,2018-W48,3.7,ERVISS
4517,IS,2018/12/9,2018-W49,4.6,ERVISS
4516,IS,2018/12/16,2018-W50,11.2,ERVISS
4515,IS,2018/12/23,2018-W51,8.9,ERVISS
4514,IS,2018/12/30,2018-W52,14.1,ERVISS
4513,IS,2019/1/6,2019-W01,7.4,ERVISS
4512,IS,2019/1/13,2019-W02,16.6,ERVISS
4511,IS,2019/1/20,2019-W03,12.9,ERVISS
4510,IS,2019/1/27,2019-W04,23.5,ERVISS
4509,IS,2019/2/3,2019-W05,33.0,ERVISS
4508,IS,2019/2/10,2019-W06,43.9,ERVISS
4507,IS,2019/2/17,2019-W07,62.0,ERVISS
4506,IS,2019/2/24,2019-W08,47.9,ERVISS
4505,IS,2019/3/3,2019-W09,41.6,ERVISS
4504,IS,2019/3/10,2019-W10,36.7,ERVISS
4503,IS,2019/3/31,2019-W13,20.4,ERVISS
4502,IS,2019/4/7,2019-W14,17.8,ERVISS
4384,IS,2023/10/8,2023-W40,1.0,ERVISS
4383,IS,2023/10/15,2023-W41,0.3,ERVISS
4382,IS,2023/10/22,2023-W42,0.8,ERVISS
4381,IS,2023/10/29,2023-W43,0.0,ERVISS
4380,IS,2023/11/5,2023-W44,2.1,ERVISS
4379,IS,2023/11/12,2023-W45,1.3,ERVISS
4378,IS,2023/11/19,2023-W46,2.1,ERVISS
4377,IS,2023/11/26,2023-W47,3.4,ERVISS
4376,IS,2023/12/3,2023-W48,5.7,ERVISS
4375,IS,2023/12/10,2023-W49,5.2,ERVISS
4374,IS,2023/12/17,2023-W50,8.8,ERVISS
4373,IS,2023/12/24,2023-W51,8.5,ERVISS
4372,IS,2023/12/31,2023-W52,6.4,ERVISS
4371,IS,2024/1/14,2024-W02,8.0,ERVISS
4370,IS,2024/1/21,2024-W03,5.4,ERVISS
4369,IS,2024/1/28,2024-W04,8.0,ERVISS
4368,IS,2024/2/11,2024-W06,7.5,ERVISS
4367,IS,2024/2/18,2024-W07,11.9,ERVISS
4366,IS,2024/2/25,2024-W08,12.1,ERVISS
4365,IS,2024/3/3,2024-W09,8.3,ERVISS
4364,IS,2024/3/10,2024-W10,10.6,ERVISS
4363,IS,2024/3/17,2024-W11,7.5,ERVISS
4362,IS,2024/3/24,2024-W12,5.5,ERVISS
4361,IS,2024/3/31,2024-W13,3.1,ERVISS
5373,IT,2017/10/22,2017-W42,89.1,ERVISS
5372,IT,2017/10/29,2017-W43,85.1,ERVISS
5371,IT,2017/11/5,2017-W44,94.6,ERVISS
5370,IT,2017/11/12,2017-W45,123.9,ERVISS
5369,IT,2017/11/19,2017-W46,159.8,ERVISS
5368,IT,2017/11/26,2017-W47,185.2,ERVISS
5367,IT,2017/12/3,2017-W48,238.0,ERVISS
5366,IT,2017/12/10,2017-W49,311.4,ERVISS
5365,IT,2017/12/17,2017-W50,473.8,ERVISS
5364,IT,2017/12/24,2017-W51,720.7,ERVISS
5363,IT,2017/12/31,2017-W52,1145.5,ERVISS
5362,IT,2018/1/7,2018-W01,1379.6,ERVISS
5361,IT,2018/1/14,2018-W02,1472.7,ERVISS
5360,IT,2018/1/21,2018-W03,1387.3,ERVISS
5359,IT,2018/1/28,2018-W04,1268.9,ERVISS
5358,IT,2018/2/4,2018-W05,1072.2,ERVISS
5357,IT,2018/2/11,2018-W06,896.5,ERVISS
5356,IT,2018/2/18,2018-W07,712.1,ERVISS
5355,IT,2018/2/25,2018-W08,624.1,ERVISS
5354,IT,2018/3/4,2018-W09,474.4,ERVISS
5353,IT,2018/3/11,2018-W10,362.3,ERVISS
5352,IT,2018/3/18,2018-W11,262.7,ERVISS
5351,IT,2018/3/25,2018-W12,215.2,ERVISS
5350,IT,2018/4/1,2018-W13,172.6,ERVISS
5349,IT,2018/4/8,2018-W14,132.1,ERVISS
5345,IT,2018/10/21,2018-W42,78.6,ERVISS
5344,IT,2018/10/28,2018-W43,94.5,ERVISS
5343,IT,2018/11/4,2018-W44,100.7,ERVISS
5342,IT,2018/11/11,2018-W45,146.9,ERVISS
5341,IT,2018/11/18,2018-W46,177.7,ERVISS
5340,IT,2018/11/25,2018-W47,213.6,ERVISS
5339,IT,2018/12/2,2018-W48,238.2,ERVISS
5338,IT,2018/12/9,2018-W49,275.4,ERVISS
5337,IT,2018/12/16,2018-W50,331.3,ERVISS
5336,IT,2018/12/23,2018-W51,370.9,ERVISS
5335,IT,2018/12/30,2018-W52,426.6,ERVISS
5334,IT,2019/1/6,2019-W01,572.1,ERVISS
5333,IT,2019/1/13,2019-W02,762.6,ERVISS
5332,IT,2019/1/20,2019-W03,1002.5,ERVISS
5331,IT,2019/1/27,2019-W04,1245.6,ERVISS
5330,IT,2019/2/3,2019-W05,1402.5,ERVISS
5329,IT,2019/2/10,2019-W06,1322.8,ERVISS
5328,IT,2019/2/17,2019-W07,1116.1,ERVISS
5327,IT,2019/2/24,2019-W08,900.1,ERVISS
5326,IT,2019/3/3,2019-W09,655.2,ERVISS
5325,IT,2019/3/10,2019-W10,475.3,ERVISS
5324,IT,2019/3/17,2019-W11,366.2,ERVISS
5323,IT,2019/3/24,2019-W12,286.7,ERVISS
5322,IT,2019/3/31,2019-W13,234.8,ERVISS
5321,IT,2019/4/7,2019-W14,191.6,ERVISS
5205,IT,2023/10/22,2023-W42,494.7,ERVISS
5204,IT,2023/10/29,2023-W43,518.1,ERVISS
5203,IT,2023/11/5,2023-W44,556.8,ERVISS
5202,IT,2023/11/12,2023-W45,690.7,ERVISS
5201,IT,2023/11/19,2023-W46,825.2,ERVISS
5200,IT,2023/11/26,2023-W47,973.2,ERVISS
5199,IT,2023/12/3,2023-W48,1153.2,ERVISS
5198,IT,2023/12/10,2023-W49,1256.1,ERVISS
5197,IT,2023/12/17,2023-W50,1578.5,ERVISS
5196,IT,2023/12/24,2023-W51,1821.2,ERVISS
5195,IT,2023/12/31,2023-W52,1844.6,ERVISS
5194,IT,2024/1/7,2024-W01,1698.0,ERVISS
5193,IT,2024/1/14,2024-W02,1435.0,ERVISS
5192,IT,2024/1/21,2024-W03,1185.7,ERVISS
5191,IT,2024/1/28,2024-W04,990.0,ERVISS
5190,IT,2024/2/4,2024-W05,893.7,ERVISS
5189,IT,2024/2/11,2024-W06,809.6,ERVISS
5188,IT,2024/2/18,2024-W07,716.1,ERVISS
5187,IT,2024/2/25,2024-W08,699.2,ERVISS
5186,IT,2024/3/3,2024-W09,644.0,ERVISS
5185,IT,2024/3/10,2024-W10,608.1,ERVISS
5184,IT,2024/3/17,2024-W11,580.9,ERVISS
5183,IT,2024/3/24,2024-W12,561.7,ERVISS
5182,IT,2024/3/31,2024-W13,509.6,ERVISS
5181,IT,2024/4/7,2024-W14,469.4,ERVISS
6144,LT,2017/10/8,2017-W40,0.9,ERVISS
6143,LT,2017/10/15,2017-W41,1.1,ERVISS
6142,LT,2017/10/22,2017-W42,1.2,ERVISS
6141,LT,2017/10/29,2017-W43,0.7,ERVISS
6140,LT,2017/11/5,2017-W44,0.9,ERVISS
6139,LT,2017/11/12,2017-W45,0.6,ERVISS
6138,LT,2017/11/19,2017-W46,1.5,ERVISS
6137,LT,2017/11/26,2017-W47,1.4,ERVISS
6136,LT,2017/12/3,2017-W48,1.4,ERVISS
6135,LT,2017/12/10,2017-W49,2.4,ERVISS
6134,LT,2017/12/17,2017-W50,3.2,ERVISS
6133,LT,2017/12/24,2017-W51,3.5,ERVISS
6132,LT,2017/12/31,2017-W52,3.3,ERVISS
6131,LT,2018/1/7,2018-W01,6.0,ERVISS
6130,LT,2018/1/14,2018-W02,12.3,ERVISS
6129,LT,2018/1/21,2018-W03,34.2,ERVISS
6128,LT,2018/1/28,2018-W04,120.7,ERVISS
6127,LT,2018/2/4,2018-W05,292.7,ERVISS
6126,LT,2018/2/11,2018-W06,386.5,ERVISS
6125,LT,2018/2/18,2018-W07,338.8,ERVISS
6124,LT,2018/2/25,2018-W08,298.1,ERVISS
6123,LT,2018/3/4,2018-W09,189.4,ERVISS
6122,LT,2018/3/11,2018-W10,144.7,ERVISS
6121,LT,2018/3/18,2018-W11,97.5,ERVISS
6120,LT,2018/3/25,2018-W12,55.5,ERVISS
6119,LT,2018/4/1,2018-W13,30.4,ERVISS
6118,LT,2018/4/8,2018-W14,15.5,ERVISS
6094,LT,2018/10/7,2018-W40,0.5,ERVISS
6093,LT,2018/10/14,2018-W41,1.1,ERVISS
6092,LT,2018/10/21,2018-W42,0.9,ERVISS
6091,LT,2018/10/28,2018-W43,1.1,ERVISS
6090,LT,2018/11/4,2018-W44,1.0,ERVISS
6089,LT,2018/11/11,2018-W45,1.2,ERVISS
6088,LT,2018/11/18,2018-W46,1.8,ERVISS
6087,LT,2018/11/25,2018-W47,1.9,ERVISS
6086,LT,2018/12/2,2018-W48,4.8,ERVISS
6085,LT,2018/12/9,2018-W49,5.8,ERVISS
6084,LT,2018/12/16,2018-W50,8.1,ERVISS
6083,LT,2018/12/23,2018-W51,13.5,ERVISS
6082,LT,2018/12/30,2018-W52,15.3,ERVISS
6081,LT,2019/1/6,2019-W01,27.6,ERVISS
6080,LT,2019/1/13,2019-W02,62.0,ERVISS
6079,LT,2019/1/20,2019-W03,138.4,ERVISS
6078,LT,2019/1/27,2019-W04,249.2,ERVISS
6077,LT,2019/2/3,2019-W05,394.8,ERVISS
6076,LT,2019/2/10,2019-W06,369.2,ERVISS
6075,LT,2019/2/17,2019-W07,240.2,ERVISS
6074,LT,2019/2/24,2019-W08,112.7,ERVISS
6073,LT,2019/3/3,2019-W09,58.9,ERVISS
6072,LT,2019/3/10,2019-W10,31.4,ERVISS
6071,LT,2019/3/17,2019-W11,15.0,ERVISS
6070,LT,2019/3/24,2019-W12,8.1,ERVISS
6069,LT,2019/3/31,2019-W13,4.4,ERVISS
6068,LT,2019/4/7,2019-W14,2.8,ERVISS
5842,LT,2023/10/8,2023-W40,1.1,ERVISS
5841,LT,2023/10/15,2023-W41,2.3,ERVISS
5840,LT,2023/10/22,2023-W42,2.7,ERVISS
5839,LT,2023/10/29,2023-W43,3.0,ERVISS
5838,LT,2023/11/5,2023-W44,2.6,ERVISS
5837,LT,2023/11/12,2023-W45,3.4,ERVISS
5836,LT,2023/11/19,2023-W46,5.9,ERVISS
5835,LT,2023/11/26,2023-W47,8.3,ERVISS
5834,LT,2023/12/3,2023-W48,11.2,ERVISS
5833,LT,2023/12/10,2023-W49,20.0,ERVISS
5832,LT,2023/12/17,2023-W50,33.9,ERVISS
5831,LT,2023/12/24,2023-W51,46.3,ERVISS
5830,LT,2023/12/31,2023-W52,30.4,ERVISS
5829,LT,2024/1/7,2024-W01,27.3,ERVISS
5828,LT,2024/1/14,2024-W02,45.2,ERVISS
5827,LT,2024/1/21,2024-W03,93.4,ERVISS
5826,LT,2024/1/28,2024-W04,162.7,ERVISS
5825,LT,2024/2/4,2024-W05,206.1,ERVISS
5824,LT,2024/2/11,2024-W06,203.8,ERVISS
5823,LT,2024/2/18,2024-W07,154.1,ERVISS
5822,LT,2024/2/25,2024-W08,123.2,ERVISS
5821,LT,2024/3/3,2024-W09,77.7,ERVISS
5820,LT,2024/3/10,2024-W10,52.8,ERVISS
5819,LT,2024/3/17,2024-W11,35.7,ERVISS
5818,LT,2024/3/24,2024-W12,31.4,ERVISS
5817,LT,2024/3/31,2024-W13,20.9,ERVISS
5816,LT,2024/4/7,2024-W14,11.8,ERVISS
6602,LU,2017/10/8,2017-W40,0.0,ERVISS
6601,LU,2017/10/15,2017-W41,0.0,ERVISS
6600,LU,2017/10/22,2017-W42,400.0,ERVISS
6599,LU,2017/10/29,2017-W43,400.0,ERVISS
6598,LU,2017/11/5,2017-W44,1800.0,ERVISS
6597,LU,2017/11/12,2017-W45,0.0,ERVISS
6596,LU,2017/11/19,2017-W46,0.0,ERVISS
6595,LU,2017/11/26,2017-W47,0.0,ERVISS
6594,LU,2017/12/3,2017-W48,300.0,ERVISS
6593,LU,2017/12/10,2017-W49,300.0,ERVISS
6592,LU,2017/12/17,2017-W50,800.0,ERVISS
6591,LU,2017/12/24,2017-W51,400.0,ERVISS
6590,LU,2018/1/7,2018-W01,1400.0,ERVISS
6589,LU,2018/1/14,2018-W02,4800.0,ERVISS
6588,LU,2018/1/21,2018-W03,6400.0,ERVISS
6587,LU,2018/1/28,2018-W04,13100.0,ERVISS
6586,LU,2018/2/4,2018-W05,8700.0,ERVISS
6585,LU,2018/2/11,2018-W06,8600.0,ERVISS
6584,LU,2018/2/18,2018-W07,9300.0,ERVISS
6583,LU,2018/2/25,2018-W08,10000.0,ERVISS
6582,LU,2018/3/4,2018-W09,8700.0,ERVISS
6581,LU,2018/3/11,2018-W10,7800.0,ERVISS
6580,LU,2018/3/18,2018-W11,8800.0,ERVISS
6579,LU,2018/3/25,2018-W12,3900.0,ERVISS
6578,LU,2018/4/1,2018-W13,3900.0,ERVISS
6577,LU,2018/4/8,2018-W14,1400.0,ERVISS
6570,LU,2018/10/7,2018-W40,0.0,ERVISS
6569,LU,2018/10/14,2018-W41,0.0,ERVISS
6568,LU,2018/10/21,2018-W42,200.0,ERVISS
6567,LU,2018/10/28,2018-W43,0.0,ERVISS
6566,LU,2018/11/4,2018-W44,0.0,ERVISS
6565,LU,2018/11/11,2018-W45,200.0,ERVISS
6564,LU,2018/11/18,2018-W46,500.0,ERVISS
6563,LU,2018/11/25,2018-W47,1000.0,ERVISS
6562,LU,2018/12/2,2018-W48,0.0,ERVISS
6561,LU,2018/12/9,2018-W49,1800.0,ERVISS
6560,LU,2018/12/16,2018-W50,1500.0,ERVISS
6559,LU,2018/12/23,2018-W51,2500.0,ERVISS
6558,LU,2018/12/30,2018-W52,0.0,ERVISS
6557,LU,2019/1/6,2019-W01,800.0,ERVISS
6556,LU,2019/1/13,2019-W02,3600.0,ERVISS
6555,LU,2019/1/20,2019-W03,1600.0,ERVISS
6554,LU,2019/1/27,2019-W04,4300.0,ERVISS
6553,LU,2019/2/3,2019-W05,5600.0,ERVISS
6552,LU,2019/2/10,2019-W06,7400.0,ERVISS
6551,LU,2019/2/17,2019-W07,9200.0,ERVISS
6550,LU,2019/2/24,2019-W08,8900.0,ERVISS
6549,LU,2019/3/3,2019-W09,2900.0,ERVISS
6548,LU,2019/3/10,2019-W10,2700.0,ERVISS
6547,LU,2019/3/17,2019-W11,2700.0,ERVISS
6546,LU,2019/3/24,2019-W12,2100.0,ERVISS
6545,LU,2019/3/31,2019-W13,1700.0,ERVISS
6544,LU,2019/4/7,2019-W14,500.0,ERVISS
6350,LU,2023/10/8,2023-W40,3600.0,ERVISS
6349,LU,2023/10/15,2023-W41,3400.0,ERVISS
6348,LU,2023/10/22,2023-W42,3900.0,ERVISS
6347,LU,2023/10/29,2023-W43,1600.0,ERVISS
6346,LU,2023/11/5,2023-W44,3000.0,ERVISS
6345,LU,2023/11/12,2023-W45,5200.0,ERVISS
6344,LU,2023/11/19,2023-W46,7200.0,ERVISS
6343,LU,2023/11/26,2023-W47,4800.0,ERVISS
6342,LU,2023/12/3,2023-W48,5500.0,ERVISS
6341,LU,2023/12/10,2023-W49,7900.0,ERVISS
6340,LU,2023/12/17,2023-W50,10400.0,ERVISS
6339,LU,2023/12/24,2023-W51,5100.0,ERVISS
6338,LU,2023/12/31,2023-W52,13400.0,ERVISS
6337,LU,2024/1/7,2024-W01,1200.0,ERVISS
6336,LU,2024/1/14,2024-W02,12600.0,ERVISS
6335,LU,2024/1/21,2024-W03,8700.0,ERVISS
6334,LU,2024/1/28,2024-W04,11900.0,ERVISS
6333,LU,2024/2/4,2024-W05,8900.0,ERVISS
6332,LU,2024/2/11,2024-W06,8100.0,ERVISS
6331,LU,2024/2/18,2024-W07,11200.0,ERVISS
6330,LU,2024/2/25,2024-W08,6400.0,ERVISS
6329,LU,2024/3/3,2024-W09,4500.0,ERVISS
6328,LU,2024/3/10,2024-W10,4000.0,ERVISS
6327,LU,2024/3/17,2024-W11,3300.0,ERVISS
6326,LU,2024/3/24,2024-W12,3200.0,ERVISS
6325,LU,2024/3/31,2024-W13,2900.0,ERVISS
6324,LU,2024/4/7,2024-W14,0.0,ERVISS
5690,LV,2017/10/8,2017-W40,0.0,ERVISS
5689,LV,2017/10/15,2017-W41,0.0,ERVISS
5688,LV,2017/10/22,2017-W42,0.0,ERVISS
5687,LV,2017/10/29,2017-W43,0.0,ERVISS
5686,LV,2017/11/5,2017-W44,0.0,ERVISS
5685,LV,2017/11/12,2017-W45,1.0,ERVISS
5684,LV,2017/11/19,2017-W46,0.0,ERVISS
5683,LV,2017/11/26,2017-W47,2.8,ERVISS
5682,LV,2017/12/3,2017-W48,1.0,ERVISS
5681,LV,2017/12/10,2017-W49,5.6,ERVISS
5680,LV,2017/12/17,2017-W50,2.8,ERVISS
5679,LV,2017/12/24,2017-W51,1.9,ERVISS
5678,LV,2017/12/31,2017-W52,8.1,ERVISS
5677,LV,2018/1/7,2018-W01,7.3,ERVISS
5676,LV,2018/1/14,2018-W02,13.7,ERVISS
5675,LV,2018/1/21,2018-W03,9.0,ERVISS
5674,LV,2018/1/28,2018-W04,28.9,ERVISS
5673,LV,2018/2/4,2018-W05,86.7,ERVISS
5672,LV,2018/2/11,2018-W06,97.2,ERVISS
5671,LV,2018/2/18,2018-W07,130.3,ERVISS
5670,LV,2018/2/25,2018-W08,153.9,ERVISS
5669,LV,2018/3/4,2018-W09,235.6,ERVISS
5668,LV,2018/3/11,2018-W10,310.6,ERVISS
5667,LV,2018/3/18,2018-W11,293.0,ERVISS
5666,LV,2018/3/25,2018-W12,255.5,ERVISS
5665,LV,2018/4/1,2018-W13,165.2,ERVISS
5664,LV,2018/4/8,2018-W14,142.6,ERVISS
5657,LV,2018/10/7,2018-W40,0.0,ERVISS
5656,LV,2018/10/14,2018-W41,0.0,ERVISS
5655,LV,2018/10/21,2018-W42,0.0,ERVISS
5654,LV,2018/10/28,2018-W43,0.0,ERVISS
5653,LV,2018/11/4,2018-W44,0.0,ERVISS
5652,LV,2018/11/11,2018-W45,0.0,ERVISS
5651,LV,2018/11/18,2018-W46,0.0,ERVISS
5650,LV,2018/11/25,2018-W47,1.0,ERVISS
